Dim 1
quali
   	R2	p.value	
GardeFamille	0.2019	0	
MoyenEmploi	0.0702	0	
EntretienConjointPresent	0.1904	0	
EntretienEnfantsPresents	0.1604	0	
EntretienParentsPresents	0.1325	0	
Enfants	0.5889	0	
Pretbancaire	0.1515	0	
AideVersEtranger	0.1041	0	
AideaPersonneExterieure	0.091	0	
NbLogement	0.2496	0	
PrepareRepas	0.5764	0	
AideDevoirAsso	0.0573	0	
EtudesSuperieures	0.0407	0	
AmisMemeOrigine	0.0374	0	
AidesRecues	0.0241	0	
EntretienAutreFamillePresents	0.024	0	
ContactFamilleEtranger	0.0231	0	
Caution	0.0192	0	
AideAdminFamille	0.0066	0	
AppartenanceAsociationPaysOrigine	0.0064	0	
PbArgentFamilleAv18Ans	0.0057	0	
AppartenancAssociationSolidarite	0.0022	0	
EmpruntFamille	0.0015	0	
NbHeuresTravail	5e-04	0.0271	

category
   	Estimate	p.value	
Femme	0.1636	0	
NbLogement_4	0.19	0	
AideaPersonneExterieure_Oui	0.1385	0	
Emprunteur	0.1309	0	
EntretienParentsAbsents	0.2443	0	
EntretienEnfantsPresents	0.2148	0	
EntretienConjointPresent	0.1858	0	
GardeFamilleOui	0.2178	0	
Enfants_2	0.1292	0	
AideVersEtranger_Oui	0.1888	0	
Égalité	0.1163	0	
AideDevoirAsso.NA	0.3613	0	
NbLogement_5	0.1468	0	
Enfants_3	0.1334	0	
EtudesSuperieures.NA	0.3101	0	
AidesRecuesNon	0.1064	0	
EntretienAutreFamilleAbsents	0.1385	0	
Homme	0.0905	0	
Enfants_4	0.1442	0	
Souvent	0.0624	0	
AmisMemeOrigine.NA	0.11	0	
NbLogement_3	0.0716	0	
CatuionNonFamilleOuAmis	0.1451	0	
MoyenEmploiRelationsPersos	0.071	0	
AideAdminFamilleNon	0.0495	0	
AppartenanceAsociationPaysOrigine_Membre	0.0859	0	
MoyenEmploiAutre	0.0337	0	
AppartenancAssociationSolidarite_Membre	0.035	0	
NbLogement_6	0.0375	0	
Caution.NA	0.0372	0	
+moitie	0.0285	0	
EmpruntFamilleNon	0.025	0	
Enfants_1	0.013	2e-04	
MoyenEmploiDemarchePersos	0.0173	2e-04	
PbArgentFamilleAv18Ans_Oui	0.0366	0.0055	
MoyenEmploiFamille	0.0208	0.0137	
moitie-moitie	0.0129	0.0227	
PbArgentFamilleAv18Ans_Non	-0.02	0.0347	
CautionFamilleAutreOuAmis	-0.0289	0.0286	
EmpruntFamilleOui	-0.025	0	
NSP	-0.0767	0	
AppartenancAssociationSolidarite_PasMembre	-0.035	0	
AppartenanceAsociationPaysOrigine.NA	-0.0341	0	
AppartenanceAsociationPaysOrigine_PasMembre	-0.0518	0	
AideAdminFamilleOui	-0.0495	0	
Sup	-0.1278	0	
CautionParentsouEnfants	-0.1534	0	
AidDevoirAssoNon	-0.0985	0	
-moitie	-0.0747	0	
Jamais	-0.056	0	
NbLogement_2	-0.0788	0	
EntretienAutreFamillePresents	-0.1385	0	
AidesRecuesOui	-0.1064	0	
No_sup	-0.1823	0	
AideDevoirAssoOui	-0.2628	0	
MoyenEmploi.NA	-0.1428	0	
0	-0.3705	0	
NbLogement_1	-0.3672	0	
AideaPersonneExterieure_Non	-0.1385	0	
AideVersEtranger.NA	-0.184	0	
NonEmprunteur	-0.1309	0	
Enfants.NA	-0.4198	0	
EntretienParentsPresents	-0.2443	0	
EntretienEnfantsAbsents	-0.2148	0	
EntretienConjointAbsent	-0.1858	0	
GardeFamilleNon	-0.2178	0	

Dim 2
quali
   	R2	p.value	
AideAdminFamille	0.0902	0	
MoyenEmploi	0.0976	0	
Enfants	0.199	0	
Pretbancaire	0.0802	0	
NbLogement	0.2323	0	
AideDevoirAsso	0.6452	0	
EtudesSuperieures	0.6747	0	
PrepareRepas	0.0542	0	
EntretienEnfantsPresents	0.0472	0	
GardeFamille	0.0441	0	
EntretienAutreFamillePresents	0.0318	0	
AmisMemeOrigine	0.0326	0	
ContactFamilleEtranger	0.0267	0	
AideVersEtranger	0.0266	0	
AppartenanceAsociationPaysOrigine	0.0179	0	
PbArgentFamilleAv18Ans	0.0178	0	
EntretienParentsPresents	0.0154	0	
Caution	0.0101	0	
AideaPersonneExterieure	0.0059	0	
FreqRencontreFamille	0.0032	0	
EntretienConjointPresent	0.003	0	

category
   	Estimate	p.value	
EtudesSuperieures.NA	1.2637	0	
AideDevoirAsso.NA	1.2197	0	
NbLogement_6	0.3792	0	
NonEmprunteur	0.0879	0	
Enfants_4	0.5366	0	
AideAdminFamilleOui	0.1692	0	
MoyenEmploi.NA	0.1307	0	
EntretienEnfantsPresents	0.1075	0	
GardeFamilleNon	0.0939	0	
EntretienAutreFamillePresents	0.1469	0	
AideVersEtranger_Oui	0.1334	0	
0	0.0928	0	
Femme	0.0799	0	
EntretienParentsPresents	0.077	0	
Souvent	0.0522	0	
AppartenanceAsociationPaysOrigine_Membre	0.1102	0	
+moitie	0.0677	0	
AideaPersonneExterieure_Oui	0.0326	0	
AmisMemeOrigine.NA	0.0574	0	
NbLogement_5	0.0427	0	
moit-moit	0.0302	0	
EntretienConjointPresent	0.0214	0	
CautionFamilleAutreOuAmis	0.0877	0	
Caution.NA	0.0354	0	
MoyenEmploiRelationsPersos	0.0323	0	
moitie-moitie	0.032	0	
PbArgentFamilleAv18Ans_Nspp	0.079	0	
Parfois	0.0134	0	
CatuionNonFamilleOuAmis	-0.017	0.0458	
AppartenanceAsociationPaysOrigine.NA	-0.0182	0	
-moitié	-0.0249	0	
EntretienConjointAbsent	-0.0214	0	
PbArgentFamilleAv18Ans_Non	-0.0841	0	
NSP	-0.1072	0	
AideVersEtranger.NA	-0.0427	0	
AideaPersonneExterieure_Non	-0.0326	0	
CautionParentsouEnfants	-0.1062	0	
NbLogement_1	-0.0591	0	
-moitie	-0.0499	0	
Homme	-0.0852	0	
AideVersEtranger_Non	-0.0908	0	
AppartenanceAsociationPaysOrigine_PasMembre	-0.0921	0	
Enfants.NA	-0.0778	0	
MoyenEmploiDemarchePersos	-0.0747	0	
EntretienParentsAbsents	-0.077	0	
Égalité	-0.0874	0	
MoyenEmploiAutre	-0.085	0	
NbLogement_2	-0.0844	0	
Jamais	-0.0656	0	
EntretienAutreFamilleAbsents	-0.1469	0	
GardeFamilleOui	-0.0939	0	
EntretienEnfantsAbsents	-0.1075	0	
NbLogement_3	-0.1312	0	
Sup	-0.6986	0	
No_sup	-0.5651	0	
AideDevoirAssoOui	-0.5623	0	
AidDevoirAssoNon	-0.6574	0	
NbLogement_4	-0.1471	0	
Emprunteur	-0.0879	0	
Enfants_2	-0.2395	0	
Enfants_1	-0.2175	0	
AideAdminFamilleNon	-0.1692	0	

Dim 3
quali
   	R2	p.value	
ContactFamilleEtranger	0.0749	0	
AppartenanceAsociationPaysOrigine	0.1049	0	
AppartenancAssociationSolidarite	0.1116	0	
AideVersEtranger	0.7183	0	
AideaPersonneExterieure	0.7172	0	
NbLogement	0.1241	0	
EtudesSuperieures	0.0605	0	
Enfants	0.0547	0	
PrepareRepas	0.0295	0	
GardeFamille	0.0271	0	
Caution	0.0247	0	
AmisMemeOrigine	0.0247	0	
MoyenEmploi	0.0197	0	
EntretienConjointPresent	0.0171	0	
FreqRencontreFamille	0.0159	0	
EntretienEnfantsPresents	0.0138	0	
EntretienParentsPresents	0.0081	0	
PbArgentFamilleAv18Ans	0.0055	0	
AideAdminFamille	0.004	0	
Pretbancaire	0.0032	0	
AidesRecues	0.0024	0	
EntretienAutreFamillePresents	0.0023	0	
AideDevoirAsso	0.0016	0	
NbHeuresTravail	0.0017	0	
EmpruntFamille	2e-04	0.0329	

category
   	Estimate	p.value	
NbLogement_1	0.2188	0	
AideaPersonneExterieure_Oui	0.3444	0	
AideVersEtranger_Oui	0.255	0	
AideVersEtranger_Non	0.204	0	
AppartenancAssociationSolidarite_Membre	0.2187	0	
Souvent	0.1	0	
AppartenanceAsociationPaysOrigine_Membre	0.1555	0	
GardeFamilleNon	0.0706	0	
Enfants.NA	0.0949	0	
EntretienConjointAbsent	0.0493	0	
-moitie	0.0707	0	
EntretienEnfantsAbsents	0.0559	0	
NbLogement_2	0.0682	0	
0	0.0579	0	
MoyenEmploiAutre	0.0665	0	
Sup	0.1157	0	
moit-moit	0.0512	0	
EntretienParentsAbsents	0.0534	0	
CautionFamilleAutreOuAmis	0.1118	0	
AideAdminFamilleNon	0.0341	0	
Emprunteur	0.0169	0	
AidesRecuesOui	0.0296	0	
MoyenEmploiDemarchePersos	0.03	0	
EntretienAutreFamilleAbsents	0.0376	0	
AideDevoirAssoOui	0.038	0	
moitie-moitie	0.0238	0	
Enfants_1	0.0215	0	
PbArgentFamilleAv18Ans_Oui	0.0443	2e-04	
AppartenanceAsociationPaysOrigine_PasMembre	0.0179	2e-04	
Enfants_4	0.0287	0.002	
MoyenEmploiRelationsPersos	0.0153	0.0023	
AidDevoirAssoNon	0.0168	0.0028	
EmpruntFamilleOui	0.0083	0.0329	
de 50h à 60h	0.1586	0.045	
EmpruntFamilleNon	-0.0083	0.0329	
PbArgentFamilleAv18Ans_Nspp	-0.0397	0.015	
NSP	-0.0269	0.0061	
-moitié	-0.0118	0.0036	
NbHeuresTravail.NA	-0.1758	1e-04	
Parfois	-0.0116	1e-04	
+moitie	-0.0206	0	
AideDevoirAsso.NA	-0.0549	0	
NbLogement_6	-0.0323	0	
MoyenEmploi.NA	-0.0247	0	
EntretienAutreFamillePresents	-0.0376	0	
AidesRecuesNon	-0.0296	0	
EtudesSuperieures.NA	-0.0717	0	
NbLogement_3	-0.0277	0	
NonEmprunteur	-0.0169	0	
