coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.0272	-0.0169	0.0137	0.0034	-0.0057	
AidesRecuesOui	-0.4074	0.2539	-0.2055	-0.0508	0.0849	
AideAdminFamilleNon	0.029	-0.0217	-0.0862	-0.0258	0.0188	
AideAdminFamilleOui	-0.3302	0.2474	0.9807	0.2938	-0.214	
EmpruntFamilleNon	3e-04	-0.0048	-0.0099	0.0122	-0.0113	
EmpruntFamilleOui	-0.0037	0.0631	0.1296	-0.1595	0.1486	
GardeFamilleNon	-0.1628	0.1666	0.028	0.0013	-0.0189	
GardeFamilleOui	1.0317	-1.0555	-0.1773	-0.0082	0.1196	
CatuionNonFamilleOuAmis	0.5118	0.0875	-0.3422	0.0677	-0.129	
CautionFamilleAutreOuAmis	0.1211	0.7672	-0.0241	-0.0638	-0.1671	
Caution.NA	-0.0021	-0.0384	0.0566	0.0036	0.0108	
CautionParentsouEnfants	-0.6048	0.4048	-0.8162	-0.1303	-0.0115	
MoyenEmploiAutre	0.2509	-0.0578	-0.4081	-0.0136	-0.0101	
MoyenEmploiDemarchePersos	0.1498	-0.1018	-0.3615	-0.0325	-0.0468	
MoyenEmploiFamille	0.0854	-0.3214	0.0179	0.067	-0.1236	
MoyenEmploi.NA	-0.3331	0.1439	0.441	-0.0363	0.1413	
MoyenEmploiRelationsPersos	0.2927	-0.0566	-0.0351	0.1628	-0.2905	
EntretienConjointAbsent	-0.1513	0.097	-0.0662	-0.0418	0.0819	
EntretienConjointPresent	0.6548	-0.4197	0.2867	0.181	-0.3544	
EntretienEnfantsAbsents	-0.128	0.072	-0.1153	-0.0222	0.0156	
EntretienEnfantsPresents	1.0595	-0.5956	0.954	0.1836	-0.1292	
EntretienParentsAbsents	0.0846	-0.0215	-0.0515	-3e-04	-0.0294	
EntretienParentsPresents	-1.2029	0.305	0.7322	0.0041	0.4177	
EntretienAutreFamilleAbsents	0.0261	-0.014	-0.0495	-0.0083	-0.0106	
EntretienAutreFamillePresents	-0.6989	0.3755	1.3272	0.2237	0.2852	
PbArgentFamilleAv18Ans_Non	-0.0671	-0.0508	-0.0432	-0.0283	0.0349	
PbArgentFamilleAv18Ans_Nspp	-0.1038	-0.0023	0.2544	0.2662	-0.2836	
PbArgentFamilleAv18Ans_Oui	0.1859	0.1388	0.1116	0.0707	-0.0883	
Jamais	-0.2807	-0.2864	-0.2725	0.0813	-0.1714	
Parfois	-0.0469	-0.068	0.0359	-0.1008	0.0885	
Souvent	0.2582	0.2774	0.1941	0.0046	0.0765	
-moitié	-0.0087	-0.0223	-0.1	-0.073	-0.0817	
+moitié	-0.0151	-0.0753	-0.0124	0.0336	0.0069	
moit-moit	0.0479	0.2278	0.0909	-0.0558	0.0257	
Enfants_1	0.5015	-0.3604	-0.4699	0.6471	-1.0908	
Enfants_2	0.8237	-0.8811	-0.2379	0.1374	1.3165	
Enfants_3	0.7814	-0.5145	1.2325	-2.4789	-0.849	
Enfants_4	0.8111	0.4398	2.8901	2.2432	0.3788	
Enfants.NA	-0.6057	0.4695	-0.0964	-0.031	0.0334	
AppartenanceAsociationPaysOrigine_Membre	0.7335	0.8469	0.5526	-0.0696	0.5706	
AppartenanceAsociationPaysOrigine.NA	-0.067	-0.1305	0.0197	0.1096	-0.1873	
AppartenanceAsociationPaysOrigine_PasMembre	0.1014	0.3409	-0.219	-0.4443	0.6481	
Emprunteur	0.4405	-0.2181	-0.3011	-0.0614	-0.0213	
NonEmprunteur	-0.3258	0.1613	0.2227	0.0454	0.0157	
AppartenancAssociationSolidarite_Membre	0.6858	1.145	-0.0476	-0.457	1.1538	
AppartenancAssociationSolidarite_PasMembre	-0.0387	-0.0646	0.0027	0.0258	-0.0651	
AideVersEtranger.NA	-0.2707	-0.2887	0.0501	0.0019	0.0203	
AideVersEtranger_Non	1.1728	1.4985	-0.8162	-0.083	-0.1758	
AideVersEtranger_Oui	1.7693	1.644	0.2588	0.0606	-0.0462	
AmisMemeOrigine.NA	0.2356	-0.2495	0.2019	0.1685	-0.3644	
-moitie	-0.1192	0.14	-0.2132	-0.1932	0.2397	
+moitie	0.0314	-0.0947	0.1568	0.1752	-0.1951	
moitie-moitie	0.0944	0.0388	0.1676	0.0422	0.0246	
NSP	-0.2627	-0.186	-0.5062	-0.0026	0.0678	
AideaPersonneExterieure_Non	-0.2707	-0.2887	0.0501	0.0019	0.0203	
AideaPersonneExterieure_Oui	1.4744	1.5721	-0.2726	-0.0104	-0.1103	
NbLogement_1	-0.6806	0.9121	-0.6191	-0.2824	0.1876	
NbLogement_2	-0.4623	0.5167	-0.409	0.0376	-0.2856	
NbLogement_3	0.1093	-0.1763	-0.4202	0.6058	-0.932	
NbLogement_4	0.4023	-0.6199	-0.2379	0.1832	1.1298	
NbLogement_5	0.2572	-0.3247	0.9108	-1.904	-0.5342	
NbLogement_6	0.0301	0.4466	1.9295	1.1112	0.4158	
AidDevoirAssoNon	0.0235	-0.0415	-0.0902	-0.0291	-0.0235	
AideDevoirAsso.NA	0.5916	0.4592	2.7723	1.313	-0.5884	
AideDevoirAssoOui	-0.3092	0.2837	0.3085	0.0268	0.3083	
35h à 50h	0.6123	0.3969	-0.1104	0.1985	0.8035	
de 50h à 60h	0.8447	0.704	0.0676	-0.7774	1.523	
+ de 60h	0.8382	0.8663	0.0545	-0.9985	0.5666	
Moins de 35h	-0.348	0.1663	-0.3053	-0.2593	0.6448	
NbHeuresTravail.NA	-0.0013	-0.0013	2e-04	9e-04	-0.0022	

contrib
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.0297	0.0128	0.0093	7e-04	0.002	
AidesRecuesOui	0.4459	0.1924	0.1392	0.0103	0.0293	
AideAdminFamilleNon	0.0333	0.0207	0.3599	0.0391	0.0212	
AideAdminFamilleOui	0.3784	0.236	4.0945	0.4454	0.2407	
EmpruntFamilleNon	0	0.001	0.0048	0.0088	0.0078	
EmpruntFamilleOui	0	0.0135	0.0627	0.1151	0.1018	
GardeFamilleNon	0.9836	1.1434	0.0356	1e-04	0.02	
GardeFamilleOui	6.2332	7.2456	0.2259	6e-04	0.1269	
CatuionNonFamilleOuAmis	0.5424	0.0176	0.2974	0.0141	0.0522	
CautionFamilleAutreOuAmis	0.011	0.4917	5e-04	0.0045	0.0318	
Caution.NA	2e-04	0.0629	0.1506	7e-04	0.0067	
CautionParentsouEnfants	0.6471	0.322	1.4456	0.0446	4e-04	
MoyenEmploiAutre	0.6149	0.0363	1.9955	0.0027	0.0015	
