coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	-0.0083	-0.0331	0.0357	-0.0189	0.0289	
AidesRecuesOui	0.1235	0.4946	-0.5339	0.2831	-0.4323	
AideAdminFamilleNon	-0.0113	-0.042	-0.0735	-0.1009	-0.0442	
AideAdminFamilleOui	0.1289	0.4779	0.8359	1.1484	0.5024	
EmpruntFamilleNon	-0.1073	-0.2026	0.0018	0.0238	0.0039	
EmpruntFamilleOui	1.4067	2.6571	-0.0233	-0.3123	-0.0508	
GardeFamilleNon	-0.0164	-0.0304	0.0065	0.1939	-0.107	
GardeFamilleOui	0.1038	0.1926	-0.0412	-1.229	0.6782	
PbArgentFamilleAv18Ans_Non	-0.0945	-0.0419	-0.1676	-0.0491	0.0589	
PbArgentFamilleAv18Ans_Nspp	-0.1984	-0.0817	0.564	0.2018	-0.049	
PbArgentFamilleAv18Ans_Oui	0.2631	0.1165	0.4437	0.129	-0.1597	
CFEJamais	-0.3939	0.154	0.3209	-0.4958	-0.0785	
CFEParfois	-0.0368	0.0964	-0.1684	-0.0254	-0.2092	
CFESouvent	0.3422	-0.1907	-0.1411	0.4162	0.2082	
+ dune fois	-0.0405	0.0674	0.1346	-0.2505	0.2983	
pas du tout	0.1445	-0.1601	-0.3012	0.6922	-0.6369	
une fois	-0.0516	-0.059	-0.1513	0.0449	-0.3911	
AppartenanceAsociationPaysOrigine_Membre	1.1019	-0.3104	-0.6372	0.7864	2.4835	
AppartenanceAsociationPaysOrigine.NA	-0.1464	0.0668	0.3192	-0.0334	-0.0896	
AppartenanceAsociationPaysOrigine_PasMembre	0.3449	-0.2047	-1.1871	-0.053	-0.2343	
Emprunteur	0.1536	-0.0624	-0.106	-0.5482	0.1838	
NonEmprunteur	-0.1136	0.0462	0.0784	0.4056	-0.136	
AppartenancAssociationSolidarite_Membre	1.2626	-0.5996	-1.8262	0.4536	1.4385	
AppartenancAssociationSolidarite_PasMembre	-0.0713	0.0339	0.1031	-0.0256	-0.0812	
AideVersEtranger.NA	-0.3452	0.1966	-0.1133	0.0602	0.0612	
AideVersEtranger_Non	1.6552	-0.9765	0.7907	-1.3126	-1.0733	
AideVersEtranger_Oui	2.0999	-1.1627	0.4475	0.635	0.3904	
AmisMemeOrigine.NA	-0.1303	-0.0758	0.5694	0.4115	-0.7145	
-moitie	0.0759	8e-04	-0.5556	-0.1254	-0.4115	
+moitie	-0.0622	0.0378	0.4124	0.0293	0.7307	
moitie-moitie	0.0715	-0.0041	0.214	0.0116	0.3349	
NSP	-0.3617	-0.0402	0.0533	-0.5632	-0.1934	
AideaPersonneExterieure_Non	-0.3452	0.1966	-0.1133	0.0602	0.0612	
AideaPersonneExterieure_Oui	1.8801	-1.0707	0.6171	-0.3278	-0.3332	
EmpruntNon	-0.1735	-0.2806	0.007	0.0057	0.014	
EmpruntOui	1.5135	2.4482	-0.0609	-0.0498	-0.1219	
Aucun_dip	-0.0642	0.1256	0.7352	0.5314	-0.0079	
Bac+2	0.0641	-0.1211	-0.3983	-0.6316	0.3546	
Bac_gen	-0.031	0.1115	-0.574	0.5415	-0.4701	
Bac_techno_pro	-0.0987	0.1959	0.0534	-0.4964	0.1445	
BEPC	0.0551	0.1088	0.2042	0.2419	-0.0719	
CAP_BEP	-0.2275	0.1046	0.3085	-0.6021	-0.0493	
CEP	0.106	-0.165	0.8743	0.6944	0.3258	
DIPLO_PI.NA	0.275	-0.2995	1.5272	2.3179	1.2376	
Sup_Bac+2	0.2747	-0.3296	-0.9251	0.033	-0.1116	
EmpruntAmi_Non	2.0088	2.4782	-0.1341	0.5456	-0.2998	
EmpruntAmi_Oui	-0.0701	-0.0865	0.0047	-0.019	0.0105	

contrib
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.0029	0.0509	0.0775	0.0224	0.0622	
AidesRecuesOui	0.0429	0.7604	1.1578	0.3347	0.9296	
AideAdminFamilleNon	0.0053	0.0804	0.3212	0.6233	0.1421	
AideAdminFamilleOui	0.0602	0.9146	3.6547	7.0924	1.6172	
EmpruntFamilleNon	0.4794	1.891	2e-04	0.0351	0.0011	
EmpruntFamilleOui	6.2862	24.7955	0.0025	0.4602	0.0145	
GardeFamilleNon	0.0104	0.0395	0.0024	2.1628	0.7846	
GardeFamilleOui	0.0659	0.2505	0.015	13.7054	4.972	
PbArgentFamilleAv18Ans_Non	0.2911	0.0633	1.3225	0.1166	0.2003	
PbArgentFamilleAv18Ans_Nspp	0.0118	0.0022	0.1372	0.0181	0.0013	
PbArgentFamilleAv18Ans_Oui	0.8261	0.1792	3.393	0.2949	0.5387	
CFEJamais	2.2388	0.3784	2.1453	5.2683	0.1574	
CFEParfois	0.0169	0.1279	0.5098	0.012	0.9639	
CFESouvent	2.1019	0.7215	0.5163	4.6184	1.3768	
+ dune fois	0.0476	0.1458	0.7596	2.7081	4.5737	
pas du tout	0.212	0.2878	1.3303	7.2218	7.2847	
une fois	0.015	0.0216	0.186	0.0169	1.5234	
AppartenanceAsociationPaysOrigine_Membre	2.4562	0.2154	1.1862	1.8579	22.0741	
AppartenanceAsociationPaysOrigine.NA	0.741	0.1705	5.0904	0.0573	0.4911	
AppartenanceAsociationPaysOrigine_PasMembre	0.9773	0.3806	16.7205	0.0342	0.7982	
Emprunteur	0.4497	0.0821	0.3095	8.5088	1.1391	
NonEmprunteur	0.3327	0.0608	0.229	6.2957	0.8429	
AppartenancAssociationSolidarite_Membre	3.8196	0.9524	11.5397	0.7322	8.7707	
AppartenancAssociationSolidarite_PasMembre	0.2157	0.0538	0.6515	0.0413	0.4952	
AideVersEtranger.NA	4.5144	1.6185	0.7024	0.2038	0.2509	
AideVersEtranger_Non	9.4203	3.6247	3.1042	8.797	7.0071	
AideVersEtranger_Oui	15.5082	5.2563	1.0168	2.1056	0.9481	
