coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	-0.0079	-0.0327	0.0354	-0.0187	0.0289	
AidesRecuesOui	0.1185	0.4907	-0.5313	0.2798	-0.4332	
AideAdminFamilleNon	-0.0112	-0.0419	-0.0737	-0.1009	-0.044	
AideAdminFamilleOui	0.1279	0.4771	0.8386	1.1476	0.5004	
EmpruntFamilleNon	-0.107	-0.2028	0.0018	0.0237	0.0038	
EmpruntFamilleOui	1.4026	2.6597	-0.024	-0.3107	-0.0495	
GardeFamilleNon	-0.0164	-0.0304	0.0069	0.1941	-0.107	
GardeFamilleOui	0.1036	0.1929	-0.0437	-1.2298	0.6783	
PbArgentFamilleAv18Ans_Non	-0.0945	-0.0421	-0.1674	-0.0486	0.0594	
PbArgentFamilleAv18Ans_Nspp	-0.1927	-0.0831	0.5726	0.1702	0.0286	
PbArgentFamilleAv18Ans_Oui	0.263	0.1172	0.4428	0.1284	-0.1631	
Jamais	-0.394	0.1536	0.3204	-0.4959	-0.0781	
Parfois	-0.037	0.0965	-0.169	-0.0254	-0.21	
Souvent	0.3424	-0.1904	-0.1403	0.4163	0.2085	
+ dune fois	-0.0405	0.0672	0.1341	-0.2509	0.2987	
pas du tout	0.1447	-0.1598	-0.3005	0.6924	-0.6378	
une fois	-0.0518	-0.0588	-0.1505	0.0463	-0.3915	
AppartenanceAsociationPaysOrigine_Membre	1.107	-0.32	-0.6302	0.7942	2.4724	
AppartenanceAsociationPaysOrigine.NA	-0.1464	0.0665	0.3193	-0.0341	-0.0895	
AppartenanceAsociationPaysOrigine_PasMembre	0.3437	-0.201	-1.1891	-0.0519	-0.232	
Emprunteur	0.154	-0.0622	-0.106	-0.5489	0.1845	
NonEmprunteur	-0.1139	0.046	0.0784	0.406	-0.1365	
AppartenancAssociationSolidarite_Membre	1.2632	-0.5983	-1.8258	0.4591	1.4359	
AppartenancAssociationSolidarite_PasMembre	-0.0713	0.0338	0.1031	-0.0259	-0.0811	
AideVersEtranger.NA	-0.3455	0.196	-0.113	0.0605	0.0615	
AideVersEtranger_Non	1.6565	-0.9728	0.7865	-1.3127	-1.0785	
AideVersEtranger_Oui	2.1019	-1.1601	0.4484	0.6314	0.3923	
AmisMemeOrigine.NA	-0.1299	-0.0761	0.5703	0.4101	-0.7152	
-moitie	0.0759	0.0017	-0.5566	-0.1246	-0.411	
+moitie	-0.0629	0.0366	0.4131	0.0289	0.7298	
moitie-moitie	0.072	-0.0043	0.2138	0.0112	0.3371	
NSP	-0.3587	-0.0399	0.0462	-0.5672	-0.2212	
AideaPersonneExterieure_Non	-0.3455	0.196	-0.113	0.0605	0.0615	
AideaPersonneExterieure_Oui	1.8817	-1.0675	0.6156	-0.3297	-0.3348	
EmpruntNon	-0.1731	-0.2809	0.007	0.0055	0.0137	
EmpruntOui	1.5098	2.4507	-0.0609	-0.0483	-0.1195	
Aucun_dip	-0.0641	0.1255	0.7352	0.5304	-0.0113	
Bac+2	0.0643	-0.1208	-0.3996	-0.6328	0.3553	
Bac_gen	-0.0319	0.111	-0.5721	0.5413	-0.4728	
Bac_techno_pro	-0.0989	0.1958	0.0529	-0.495	0.1464	
BEPC	0.0552	0.1088	0.2061	0.2427	-0.0642	
CAP_BEP	-0.2275	0.1044	0.3074	-0.6024	-0.0494	
CEP	0.1062	-0.1652	0.8752	0.6949	0.3184	
DIPLO_PI.NA	0.276	-0.3008	1.5299	2.3079	1.239	
Sup_Bac+2	0.275	-0.3289	-0.9254	0.0347	-0.1108	
EmpruntAmi_Non	2.0052	2.4812	-0.1326	0.5475	-0.2939	
EmpruntAmi_Oui	-0.07	-0.0866	0.0046	-0.0191	0.0103	

contrib
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	0.0026	0.0498	0.0763	0.0217	0.0621	
AidesRecuesOui	0.0394	0.7465	1.1432	0.3259	0.9313	
AideAdminFamilleNon	0.0052	0.0801	0.3233	0.6223	0.1411	
AideAdminFamilleOui	0.0592	0.9113	3.6784	7.0812	1.6057	
EmpruntFamilleNon	0.4766	1.8949	2e-04	0.0347	0.0011	
EmpruntFamilleOui	6.2492	24.8457	0.0027	0.4554	0.0138	
GardeFamilleNon	0.0104	0.0397	0.0027	2.165	0.7854	
GardeFamilleOui	0.0656	0.2515	0.0169	13.7194	4.9767	
PbArgentFamilleAv18Ans_Non	0.2912	0.064	1.3188	0.1142	0.2039	
PbArgentFamilleAv18Ans_Nspp	0.0111	0.0023	0.1414	0.0128	4e-04	
PbArgentFamilleAv18Ans_Oui	0.8253	0.1813	3.3799	0.2921	0.5618	
Jamais	2.2401	0.3762	2.1388	5.2687	0.156	
Parfois	0.017	0.1281	0.5133	0.012	0.9718	
Souvent	2.1041	0.7191	0.5105	4.6186	1.3809	
+ dune fois	0.0477	0.1451	0.7548	2.7151	4.5878	
pas du tout	0.2126	0.2865	1.3234	7.2253	7.3086	
une fois	0.0151	0.0215	0.184	0.0179	1.5273	
AppartenanceAsociationPaysOrigine_Membre	2.4788	0.2291	1.1603	1.8947	21.8922	
AppartenanceAsociationPaysOrigine.NA	0.741	0.1689	5.0928	0.0598	0.4905	
AppartenanceAsociationPaysOrigine_PasMembre	0.9704	0.3671	16.7781	0.0328	0.7827	
Emprunteur	0.452	0.0816	0.309	8.5268	1.149	
NonEmprunteur	0.3343	0.0603	0.2286	6.3066	0.8499	
AppartenancAssociationSolidarite_Membre	3.823	0.9482	11.5341	0.7497	8.7455	
AppartenancAssociationSolidarite_PasMembre	0.2159	0.0535	0.6512	0.0423	0.4938	
AideVersEtranger.NA	4.5221	1.6092	0.6989	0.2061	0.2535	
AideVersEtranger_Non	9.4349	3.5978	3.0716	8.7966	7.0802	
AideVersEtranger_Oui	15.5362	5.2329	1.0212	2.0815	0.958	
AmisMemeOrigine.NA	0.0966	0.0367	2.6887	1.4298	5.1848	
-moitie	0.1051	1e-04	8.1544	0.42	5.4512	
+moitie	0.0511	0.0191	3.1822	0.016	12.1731	
moitie-moitie	0.0365	1e-04	0.4642	0.0013	1.4149	
NSP	0.12	0.0016	0.0029	0.4458	0.0808	
AideaPersonneExterieure_Non	4.5221	1.6092	0.6989	0.2061	0.2535	
AideaPersonneExterieure_Oui	24.6262	8.7632	3.8058	1.1225	1.3804	
EmpruntNon	1.2047	3.5098	0.0028	0.0018	0.0134	
EmpruntOui	10.5093	30.6171	0.0247	0.016	0.1166	
Aucun_dip	0.0302	0.1276	5.7228	3.062	0.0016	
Bac+2	0.0199	0.0776	1.1091	2.86	1.0753	
Bac_gen	0.0048	0.0638	2.2135	2.037	1.8535	
Bac_techno_pro	0.044	0.1904	0.0182	1.6345	0.1705	
BEPC	0.0125	0.0536	0.2513	0.3583	0.0299	
CAP_BEP	0.4658	0.1084	1.2283	4.8487	0.0388	
CEP	0.0192	0.0514	1.8869	1.2229	0.306	
DIPLO_PI.NA	0.0598	0.0785	2.6531	6.2071	2.1329	
Sup_Bac+2	0.5991	0.9476	9.7984	0.0142	0.1723	
EmpruntAmi_Non	6.0799	10.2929	0.0384	0.673	0.2312	
EmpruntAmi_Oui	0.2122	0.3593	0.0013	0.0235	0.0081	

cos2
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	9e-04	0.0161	0.0188	0.0052	0.0125	
AidesRecuesOui	9e-04	0.0161	0.0188	0.0052	0.0125	
AideAdminFamilleNon	0.0014	0.02	0.0618	0.1157	0.022	
AideAdminFamilleOui	0.0014	0.02	0.0618	0.1157	0.022	
EmpruntFamilleNon	0.15	0.5395	0	0.0074	2e-04	
EmpruntFamilleOui	0.15	0.5395	0	0.0074	2e-04	
GardeFamilleNon	0.0017	0.0059	3e-04	0.2387	0.0726	
GardeFamilleOui	0.0017	0.0059	3e-04	0.2387	0.0726	
PbArgentFamilleAv18Ans_Non	0.0238	0.0047	0.0746	0.0063	0.0094	
PbArgentFamilleAv18Ans_Nspp	2e-04	0	0.0022	2e-04	0	
PbArgentFamilleAv18Ans_Oui	0.0251	0.005	0.0711	0.006	0.0096	
Jamais	0.0737	0.0112	0.0487	0.1167	0.0029	
Parfois	5e-04	0.0036	0.011	2e-04	0.017	
Souvent	0.0783	0.0242	0.0132	0.1157	0.029	
+ dune fois	0.003	0.0083	0.0331	0.1159	0.1642	
pas du tout	0.0061	0.0075	0.0264	0.1403	0.119	
une fois	4e-04	5e-04	0.0032	3e-04	0.022	
AppartenanceAsociationPaysOrigine_Membre	0.0579	0.0048	0.0188	0.0298	0.2889	
AppartenanceAsociationPaysOrigine.NA	0.0724	0.0149	0.3444	0.0039	0.0271	
AppartenanceAsociationPaysOrigine_PasMembre	0.0265	0.0091	0.3173	6e-04	0.0121	
Emprunteur	0.0175	0.0029	0.0083	0.2229	0.0252	
NonEmprunteur	0.0175	0.0029	0.0083	0.2229	0.0252	
AppartenancAssociationSolidarite_Membre	0.0901	0.0202	0.1882	0.0119	0.1164	
AppartenancAssociationSolidarite_PasMembre	0.0901	0.0202	0.1882	0.0119	0.1164	
AideVersEtranger.NA	0.6502	0.2093	0.0696	0.02	0.0206	
AideVersEtranger_Non	0.2279	0.0786	0.0514	0.1431	0.0966	
AideVersEtranger_Oui	0.3761	0.1146	0.0171	0.0339	0.0131	
AmisMemeOrigine.NA	0.0025	8e-04	0.0476	0.0246	0.0749	
-moitie	0.004	0	0.2123	0.0106	0.1158	
+moitie	0.0016	5e-04	0.069	3e-04	0.2154	
moitie-moitie	0.001	0	0.0085	0	0.0211	
NSP	0.0027	0	0	0.0068	0.001	
AideaPersonneExterieure_Non	0.6502	0.2093	0.0696	0.02	0.0206	
AideaPersonneExterieure_Oui	0.6502	0.2093	0.0696	0.02	0.0206	
EmpruntNon	0.2613	0.6885	4e-04	3e-04	0.0016	
EmpruntOui	0.2613	0.6885	4e-04	3e-04	0.0016	
Aucun_dip	8e-04	0.0031	0.1057	0.055	0	
Bac+2	5e-04	0.0018	0.0192	0.0481	0.0152	
Bac_gen	1e-04	0.0014	0.0382	0.0342	0.0261	
Bac_techno_pro	0.0011	0.0043	3e-04	0.0273	0.0024	
BEPC	3e-04	0.0012	0.0043	0.0059	4e-04	
CAP_BEP	0.013	0.0027	0.0237	0.0911	6e-04	
CEP	4e-04	0.0011	0.0303	0.0191	0.004	
DIPLO_PI.NA	0.0014	0.0016	0.0417	0.0949	0.0274	
Sup_Bac+2	0.0162	0.0232	0.1838	3e-04	0.0026	
EmpruntAmi_Non	0.1404	0.2149	6e-04	0.0105	0.003	
EmpruntAmi_Oui	0.1404	0.2149	6e-04	0.0105	0.003	

v.test
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	-4.5148	-18.6972	20.2452	-10.661	16.5037	
AidesRecuesOui	4.5148	18.6972	-20.2452	10.661	-16.5037	
AideAdminFamilleNon	-5.5933	-20.862	-36.6737	-50.1849	-21.8845	
AideAdminFamilleOui	5.5933	20.862	36.6737	50.1849	21.8845	
EmpruntFamilleNon	-57.1379	-108.348	0.9795	12.6584	2.0177	
EmpruntFamilleOui	57.1379	108.348	-0.9795	-12.6584	-2.0177	
GardeFamilleNon	-6.0721	-11.3061	2.562	72.0631	-39.7473	
GardeFamilleOui	6.0721	11.3061	-2.562	-72.0631	39.7473	
PbArgentFamilleAv18Ans_Non	-22.759	-10.1494	-40.3036	-11.6953	14.3124	
PbArgentFamilleAv18Ans_Nspp	-2.3277	-1.0039	6.9177	2.056	0.3452	
PbArgentFamilleAv18Ans_Oui	23.3657	10.4137	39.3459	11.4085	-14.488	
Jamais	-40.0432	15.6051	32.558	-50.3988	-7.9409	
Parfois	-3.3813	8.8241	-15.4556	-2.3273	-19.2073	
Souvent	41.2716	-22.9454	-16.9159	50.1821	25.1289	
+ dune fois	-8.1126	13.4529	26.8465	-50.2193	59.7826	
pas du tout	11.5494	-12.7499	-23.9781	55.2587	-50.8958	
une fois	-2.8947	-3.2864	-8.4092	2.588	-21.8832	
AppartenanceAsociationPaysOrigine_Membre	35.4978	-10.2623	-20.2088	25.4695	79.2847	
AppartenanceAsociationPaysOrigine.NA	-39.6859	18.0206	86.5708	-9.2546	-24.2659	
AppartenanceAsociationPaysOrigine_PasMembre	24.0158	-14.0474	-83.0925	-3.6237	-16.21	
Emprunteur	19.5376	-7.8928	-13.4422	-69.6383	23.4106	
NonEmprunteur	-19.5376	7.8928	13.4422	69.6383	-23.4106	
AppartenancAssociationSolidarite_Membre	44.2772	-20.9703	-63.9957	16.0919	50.3312	
AppartenancAssociationSolidarite_PasMembre	-44.2772	20.9703	63.9957	-16.0919	-50.3312	
AideVersEtranger.NA	-118.9485	67.48	-38.9102	20.8414	21.1657	
AideVersEtranger_Non	70.4284	-41.3599	33.4382	-55.8102	-45.853	
AideVersEtranger_Oui	90.4616	-49.9281	19.2985	27.1742	16.8824	
AmisMemeOrigine.NA	-7.3301	-4.2977	32.1862	23.1489	-40.3692	
-moitie	9.2717	0.208	-67.96	-15.2114	-50.1869	
+moitie	-5.904	3.43	38.7575	2.7119	68.466	
moitie-moitie	4.584	-0.2707	13.6026	0.7133	21.4504	
NSP	-7.7143	-0.8581	0.9927	-12.2002	-4.7574	
AideaPersonneExterieure_Non	-118.9485	67.48	-38.9102	20.8414	21.1657	
AideaPersonneExterieure_Oui	118.9485	-67.48	38.9102	-20.8414	-21.1657	
EmpruntNon	-75.4058	-122.4008	3.0439	2.4109	5.9691	
EmpruntOui	75.4058	122.4008	-3.0439	-2.4109	-5.9691	
Aucun_dip	-4.184	8.1846	47.9532	34.5949	-0.7349	
Bac+2	3.2872	-6.1763	-20.4343	-32.3638	18.1728	
Bac_gen	-1.608	5.5908	-28.822	27.2696	-23.8214	
Bac_techno_pro	-4.871	9.6386	2.6059	-24.3699	7.2071	
BEPC	2.5823	5.0911	9.6415	11.3542	-3.006	
CAP_BEP	-16.8196	7.7167	22.7272	-44.5354	-3.6498	
CEP	3.1153	-4.8452	25.6762	20.3868	9.3397	
DIPLO_PI.NA	5.4345	-5.9235	30.1263	45.4472	24.3974	
Sup_Bac+2	18.7951	-22.4788	-63.247	2.3746	-7.5753	
EmpruntAmi_Non	55.2652	68.384	-3.6533	15.0895	-8.1004	
EmpruntAmi_Oui	-55.2652	-68.384	3.6533	-15.0895	8.1004	

eta2
  	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecues	0.000936729759063431	0.0160654350181149	0.0188359080357733	0.00522320628703638	0.0125171761093053
AideAdminFamille	0.00143773781035166	0.0200011310643838	0.0618088691969157	0.11574117556847	0.0220096623687396
EmpruntFamille	0.150034117576989	0.539489674889687	4.40889568760708e-05	0.0073637128527717	0.000187096435141541
GardeFamille	0.00169442424919777	0.00587444313657949	0.000301638948467996	0.238653282948186	0.0726033611228644
PbArgentFamilleAv18Ans	0.0251534780479972	0.00499473487153215	0.0747593686624668	0.00629722202911161	0.00965248825183614
ContactFamilleEtranger	0.0972867893248685	0.0246812540140099	0.0488487265221101	0.14873011121409	0.0316103976045649
FreqRencontreFamille	0.00614335532153348	0.00914049911328574	0.034939347605176	0.149616288994504	0.169141727909893
AppartenanceAsociationPaysOrigine	0.0934739778146851	0.0154364043109775	0.355729996245255	0.0298578865325141	0.291888175483953
Pretbancaire	0.017542104926945	0.00286290557556692	0.00830386695271904	0.222862860144381	0.0251864441797776
AppartenancAssociationSolidarite	0.090095128993618	0.0202092884125651	0.188209830723358	0.0119002063627707	0.116416774506069
AideVersEtranger	0.657910942966675	0.210622641073538	0.0740098275690984	0.166534068202452	0.104476208960747
AmisMemeOrigine	0.00913079987922909	0.00116252607550111	0.223842855501461	0.034749811138074	0.306243847478936
AideaPersonneExterieure	0.65021803714447	0.209262343568491	0.0695772561422267	0.0199615352585126	0.0205876849753853
Emprunt	0.261306956451036	0.688508960972561	0.000425798945310952	0.000267112160197334	0.0016374059106924
DIPLO_PI	0.0280004210816992	0.0342766695590483	0.384310353307983	0.33421341246458	0.0728404760787237
EmpruntAmi	0.140360353195895	0.214906847815855	0.0006133536444153	0.0104639024021236	0.00301549397211875

